id,name,extra,area,meters,section,region,feet,summited,lat,lng,link,description,pictureURL,startingPointURL
1,A' Bhuidheanach Bheag,,Cairngorms,936,05B,05B: Loch Ericht to Glen Tromie & Glen Garry,3071,FALSE,56.870342,-4.199001,https://www.walkhighlands.co.uk/munros/a-bhuidheanach-bheag,"A' Bhuidheanach Bheag features a wide, rounded summit situated on the expansive plateau to the east of the Drumochter Pass. While the plateau itself is characterized by its lack of prominent landforms, it exudes a sense of wildness and desolation that appeals to those seeking solitude in nature. The vast, open landscape offers a unique experience, with sweeping views that stretch across the rugged terrain, making it a memorable destination for munro baggers.",https://d3teiib5p3f439.cloudfront.net/munros/a-bhuidheanach-bheag2.jpg,"https://www.google.com/maps/search/56.90890,-4.23660/"
2,A' Chailleach,,Cairngorms,929,09B,09B: Glen Albyn and the Monadh Liath,3049,FALSE,57.109564,-4.179285,https://www.walkhighlands.co.uk/munros/a-chailleach-monadhliath,"A' Chailleach stands as a well-known landmark visible from the vicinity of Newtonmore. Crowned with a substantial cairn, it is not only the most frequently climbed peak in the Monadhliath range but also arguably the most impressive. Its prominence and accessibility make it a favorite among hikers and outdoor enthusiasts, offering stunning views and a rewarding ascent.",https://d3teiib5p3f439.cloudfront.net/munros/a-chailleach-monadhliath2.jpg,"https://www.google.com/maps/search/57.07050,-4.15760/"
3,A' Chailleach,,Ullapool,999,14B,14B: The Fannaichs,3276,FALSE,57.693773,-5.128713,https://www.walkhighlands.co.uk/munros/a-chailleach,"A' Chailleach stands as the western sentinel of the Fannich range, offering breathtaking vistas that stretch across the rugged expanse of the Fisherfield Forest and extend towards the majestic An Teallach. This munro provides a rewarding experience for hikers, with its panoramic views and the sense of isolation that comes from being in such a remote and wild part of Scotland. The journey to its summit is not just a climb but an immersion into the natural beauty and tranquility of the Highlands.",https://d3teiib5p3f439.cloudfront.net/munros/a-chailleach2.jpg,"https://www.google.com/maps/search/57.73740,-5.09000/"
4,A' Chralaig,,Kintail,1120,11B,11B: Glen Affric to Glen Moriston,3675,FALSE,57.184186,-5.154837,https://www.walkhighlands.co.uk/munros/a-chralaig,"A' Chralaig stands as a formidable mountain, often overshadowed by its more famous neighbors, yet it proudly holds the title of the highest peak in Kintail. The climb begins at the Cluanie Inn and is a relentless uphill journey, demanding both stamina and determination. However, the effort is richly rewarded as the ascent culminates in a magnificent ridge, offering breathtaking panoramic views that make the strenuous trek worthwhile.",https://d3teiib5p3f439.cloudfront.net/munros/a-chralaig2.jpg,"https://www.google.com/maps/search/57.15960,-5.16470/"
5,A' Ghlas-bheinn,,Kintail,918,11A,11A: Loch Duich to Cannich,3012,FALSE,57.255081,-5.303686,https://www.walkhighlands.co.uk/munros/a-ghlas-bheinn,"A' Ghlas-bheinn is a rugged and craggy peak that stands prominently near Morvich in the picturesque region of Kintail. This mountain, though modest in stature, offers a rewarding climb with its challenging terrain and stunning vistas. For those looking to extend their adventure, the ascent of A' Ghlas-bheinn can be seamlessly paired with a trip to the renowned Falls of Glomach, one of Scotland's highest waterfalls. This combination provides a perfect blend of mountain trekking and natural beauty, making it a memorable experience for any munro bagger.",https://d3teiib5p3f439.cloudfront.net/munros/a-ghlas-bheinn2.jpg,"https://www.google.com/maps/search/57.23480,-5.38090/"
6,A' Mhaighdean,,Ullapool,967,14A,14A: Loch Maree to Loch Broom,3173,FALSE,57.719653,-5.346721,https://www.walkhighlands.co.uk/munros/a-mhaighdean,"A' Mhaighdean is frequently considered the most remote of all the Munros, nestled deep within the vast expanse of the Fisherfield Forest. This majestic mountain, with its striking castellated ridges and dramatic cliffs, stands as a testament to nature's grandeur. Renowned for offering one of the most breathtaking viewpoints in Britain, A' Mhaighdean rewards those who venture into its secluded wilderness with unparalleled panoramic vistas.",https://d3teiib5p3f439.cloudfront.net/munros/a-mhaighdean2.jpg,"https://www.google.com/maps/search/57.77680,-5.25450/"
7,A' Mharconaich,,Cairngorms,973,05A,05A: Loch Ericht to Glen Tromie & Glen Garry,3193,FALSE,56.857002,-4.290668,https://www.walkhighlands.co.uk/munros/a-mharconaich,"A' Mharconaich stands out prominently among the peaks towering over the Drumochter Pass, presenting a strikingly steep and rugged nose to the northeast. This mountain's unique profile makes it easily recognizable and a favorite among hikers and climbers exploring the region. Its dramatic slopes and commanding presence offer both a visual treat and a rewarding challenge for those who venture to its summit.",https://d3teiib5p3f439.cloudfront.net/munros/a-mharconaich2.jpg,"https://www.google.com/maps/search/56.88350,-4.25360/"
8,Am Basteir,,Islands,934,17B,17B: Minginish and the Cuillin Hills,3064,FALSE,57.24794,-6.202966,https://www.walkhighlands.co.uk/munros/am-basteir,"Am Basteir stands as a striking, vertically-sided blade of rock, presenting a thrilling challenge for avid scramblers who approach from Bealach a Basteir. This rugged ascent rewards climbers with breathtaking views and a sense of accomplishment. Nestled just below the summit lies the extraordinary Basteir Tooth, a formidable and imposing fang of rock. This remarkable feature is accessible solely to skilled rock-climbers, adding an extra layer of adventure for those seeking to conquer its heights. The dramatic landscape and unique geological formations make Am Basteir a must-visit for any dedicated munro bagger.",https://d3teiib5p3f439.cloudfront.net/munros/am-basteir2.jpg,"https://www.google.com/maps/search/57.28910,-6.17690/"
9,Am Bodach,,Fort William,1032,04A,04A: Fort William to Loch Treig & Loch Leven,3385,FALSE,56.74173,-4.98337,https://www.walkhighlands.co.uk/munros/am-bodach,"Am Bodach is a striking and rugged peak situated along the main ridge of the Mamores, nestled between the scenic locales of Kinlochleven and Fort William. This mountain is known for its steep, stony slopes that challenge and reward climbers with breathtaking views and a sense of accomplishment. Its prominent position in the Mamores range makes it a must-visit for any dedicated munro bagger exploring the Scottish Highlands.",https://d3teiib5p3f439.cloudfront.net/munros/am-bodach2.jpg,"https://www.google.com/maps/search/56.77770,-5.00034/"
10,Am Faochagach,,Ullapool,953,15A,15A: Loch Broom to Strath Oykel,3127,FALSE,57.771801,-4.853882,https://www.walkhighlands.co.uk/munros/am-faochagach,"Am Faochagach is a gently contoured Munro situated to the north of the Dirrie Mòr road, near Ullapool. The initial approach presents the primary challenge, as it involves traversing a flat expanse of moorland that is often boggy and includes a river crossing that can be tricky, especially after heavy rain. Once past this initial section, the climb to the summit is relatively uncomplicated, offering a more straightforward ascent. The peak rewards hikers with expansive views and a sense of accomplishment after navigating the initial hurdles.",https://d3teiib5p3f439.cloudfront.net/munros/am-faochagach-1.JPG,"https://www.google.com/maps/search/57.72480,-4.89430/"
